customer_id,umur,penghasilan_juta,spending_score,segment_label
0668fc97-97cf-4d31-8cee-5f6aa3ead634,38,13.43,7.83,high
2a04cd5f-b0f4-4770-96d6-0cd1d97ce40a,20,3.71,3.71,low
c8b7ed92-61bc-457d-88c5-9f70d78498fc,37,23.04,7.1,high
97cd4f83-07d0-4f29-9dab-7a170de45fb8,21,2.2,3.41,low
34139432-4ba0-4eae-8e56-dab108e6881b,41,25.17,9.1,high
fe92cc2a-408f-4207-adc7-04c32cb433f3,32,8.14,5.11,middle
36a45080-5ee0-4736-899c-a7bae4b7b4d6,20,3.59,2.36,low
ee67551d-fa68-45bc-b9c0-a33861f28c60,21,4.37,2.35,low
d2d60125-a7a0-40a0-a2e2-e4a16d49612f,24,1.79,4.39,low
1c930998-0339-443d-940e-011be7cfaa8f,43,26.72,9.19,high
e40b2859-20b1-4cbe-8d85-e81b8e0c2658,38,29.54,8.14,high
23c78fec-1c98-4be6-bd11-0f159d6f353d,44,27.1,8.86,high
7d5c3780-ab4b-47f9-833b-20f1fe5e3962,43,6.35,4.28,middle
7106c19e-dce6-4848-982e-0322bf3878b4,42,26.14,9.96,high
d76b5f88-101c-471b-b502-6015dd366ff2,19,2.64,2.81,low
cded4945-a3ca-4838-b388-bdc680b44593,30,7.59,4.84,middle
541e6bbd-6f01-401a-8fea-47670d774229,45,5.5,6.54,middle
3a969aa5-5ba4-41f2-970b-2e105ddbdfb4,58,17.16,8.39,high
647926e4-43af-474d-afd3-73c3830df584,45,9.82,4.88,middle
0112d8bf-6bbc-4187-8bf7-bfbf2fb9ce81,26,6.6,4.13,middle
4efdbf60-73df-4a00-82fa-9bebe70e7af6,37,6.87,4.84,middle
be02ed22-ca22-45da-ae8a-8dc78b317722,63,25.2,7.64,high
16ecab5c-f38e-4738-8113-f28317a31472,37,11.19,6.57,middle
206b5557-9656-43d5-995b-f9258b8f8b32,22,1.92,3.98,low
8e2899cb-7ce0-4841-aa84-6e3faf2178cf,43,25.7,8.29,high
0e1c1891-14e5-4c66-a9b7-e162eb751631,47,19.15,9.99,high
8202a248-2743-413d-9764-decbf5fea9c4,26,2.98,4.02,low
d35b1fa1-b0a4-4a32-bcac-0bbe0a2ae2ad,20,3.38,4.17,low
1dfe550a-1b4d-4dad-895c-d293c84c3519,44,5.44,5.53,middle
b44ec45b-a433-4a32-b252-a36b0291e979,41,6.76,6.21,middle
c9b76c19-b544-42f4-adc4-709086ff2e3e,28,3.66,3.73,low
f776e934-ad53-4c09-8ef2-2d36c5842e7d,59,17.54,8.92,high
5f2c3a93-c8e9-4a00-8ccc-f7b904964911,22,2.8,2.81,low
e12622fc-7529-4551-bca8-cfd081eb4fdc,63,25.23,9.92,high
3fd447ff-a005-4126-8583-e0c8b50cbff6,26,4.24,4.48,low
d11b86f0-a503-4f5b-b42f-5c5ea743552e,45,8.55,4.8,middle
6fb2933a-61a2-44df-a83b-be4ba2caa904,30,8.78,7.11,middle
c66b6feb-0232-4179-9f13-793717da0abb,64,13.01,7.97,high
6ec30207-e3d6-4df7-a423-9051f1637f82,19,4.29,4.51,low
708cb8d0-9b51-4faa-90b5-b51c60f30860,32,5.41,7.51,middle
479412bb-e349-45b5-8d3e-26c760cb51e3,19,3.7,4.26,low
f219ed6e-83d2-440f-abe8-5bc6069bd12b,59,15.14,8.98,high
6e2393f7-208a-4b6d-b4b9-726a1f9be648,40,17.51,9.62,high
a7016cc6-6cde-48ab-a95e-6d946f3e58e6,31,11.5,7.02,middle
782712a6-7b4c-4d2b-80d4-3ee90bf7fbce,41,25.12,8.2,high
b7cfafcc-c0ef-4eb7-a756-c3372f644280,55,19.35,9.7,high
88e5359e-a408-4409-ade8-5f953d46054b,28,6.74,4.26,middle
92cb9f7e-8033-46f6-a40c-23324048abf8,27,3.16,3.35,low
08174e26-df75-4f56-8c3c-ea01da112e18,19,3.62,1.24,low
5e4374c5-b125-4c54-9905-ec17abe4b763,18,4.08,1.28,low
816ba3b3-16ae-4c17-a61d-20bf5b0715b8,22,3.51,1.86,low
a2a13cd8-adb4-4b4e-b729-8de2569f362a,27,3.23,1.97,low
6970937b-9398-4bdc-8645-7f9f2a5554cd,38,6.33,4.39,middle
445eb8ab-2c11-4e3d-9555-dbd29beb5834,36,7.97,5.87,middle
3f17a396-8d23-4934-b5b5-3f57532b9dc6,36,24.45,9.95,high
4d6a5b5f-82c7-4e14-8b05-93e7ae7d9194,18,2.71,2.36,low
0739e000-df94-4ada-b53b-0bea73b5d8d7,21,2.07,3.15,low
50256eec-3e38-4d2a-8d53-3db0f3ada0c4,24,2.05,2.85,low
4c066f82-778d-4b5f-bc7e-99ddf847915e,25,3.92,4.42,low
9a682e66-4a36-4ba6-a0e5-1eca9ea91102,18,3.46,3.16,low
ba318e75-bd0e-4572-858e-3ed168df30d8,19,4.28,4.39,low
f9e9defa-076b-443b-a19b-ca7d9bb92320,24,2.96,1.85,low
45b5b6da-65d2-468d-a7e4-694b4f265222,26,6.15,4.01,middle
e66efeb1-c475-450b-8e2a-65b57ac0de73,33,11.49,7.14,middle
1eba1341-22c3-48a1-a454-7dbcb609cdde,38,9.88,6.92,middle
43938058-490e-4d29-951a-ae11c95dbfe4,56,25.21,7.46,high
ee4da6e5-0c5e-44c5-86a5-9fa42490d8cd,31,11.78,6.32,middle
6c6cc297-7e02-479e-921a-0664252cfb5a,36,25.72,7.17,high
7d33ee27-166b-4a15-a0c0-df7e254c635f,50,21.55,9.56,high
1c87da6c-5ccb-4795-89f0-8fc2f4531ef4,18,4.38,1.32,low
87088103-bfb7-416e-9ea9-efebfc2deabd,19,3.29,3.7,low
809d7667-91db-48f9-9a1d-09290e46abbb,24,1.86,4.56,low
